State/Centre,Type,Board,Grade,Subject,Medium,Textbook Name,Chapter No.,Chapter Name,Chapter - Concept Name,Explanation,Practice,Combined,Selection process for video,Topic Name,Topic - Concept Name,Sub-Topic,Explanation,Practice,Combined,Selection process for video,Reviewed ,Comments
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,10,Life in the Deserts,Deserts,,,,,The Cold Desert - Ladakh,"Ladakh, Cold Desert",People,,,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,1,Resources,Resources,,,,,NA,NA,NA,https://diksha.gov.in/play/content/do_31257982223148646419869, ,,C5,Reviewed ,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,1,Resources,Resources,,,,,Types of Resources,Types of Resources,NA,https://community.ekstep.in/preview/content/do_31257982232344166429611, ,,C3,Reviewed ,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,1,Resources,Resources,,,,,Types of Resources,Types of Resources,Natural Resources,https://diksha.gov.in/play/content/do_31257982233635225619873, ,,C5,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,1,Resources,Resources,,,,,Types of Resources,Types of Resources,Human Made Resources, , ,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,1,Resources,Resources,,,,,Types of Resources,Types of Resources,Human Resources,https://diksha.gov.in/play/content/do_31257982242507980829618, ,,C3 covered 2 topics,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,1,Resources,Resources,,,,,Conserving Resources,Conserving Resources,NA,https://community.ekstep.in/preview/content/do_31257982244631347219877, ,,C1,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,2,"Land, Soil, Water, Natural Vegetation and Wildlife Resources","Land, Soil, Water, Natural Vegetation and Wildlife Resources",https://diksha.gov.in/play/content/do_31257982248460288029622, ,,C3,NA,NA,NA,, ,,,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,2,"Land, Soil, Water, Natural Vegetation and Wildlife Resources","Land, Soil, Water, Natural Vegetation and Wildlife Resources", ,,,,Land,Land,NA,https://community.ekstep.in/preview/content/do_31257982251626496019878, ,,C5,,
Centre,K-12,CBSE,Class 8,Geography,English,Resources and Development,2,"Land, Soil, Water, Natural Vegetation and Wildlife Resources","Land, Soil, Water, Natural Vegetation and Wildlife Resources", ,,,,Land Use,Use of Land,NA,https://diksha.gov.in/play/content/do_31257982254033305629625, ,,C5,,
